title,Responsibilities
Data Science e-Commerce Analyst," Analyzes media/marketing performance across a variety of digital channels and level to educate account leads and the marketing team about the best way to deploy funding Develops, streamlines, and maintains data tracking and analysis tools to address the specific needs of eCommerceCreates and maintains dashboards to monitor key KPIs and provide better organization tracking of eCommerce performanceDrives the analysis of our digital shelf, making use of data generated through web-scraping services to drive actionable improvements in product images, content and in-stockSupports key digital retailers with working offering way to optimize assortment and improve category salesHelps execute test and learn experiments to help build overall understanding of the eCommerce environmentManage and evaluates data related to BBU’s direct-to-consumer sight, looking for new ways to leverage the data to drive insight into consumersEducate senior leadership on trends impacting the eCommerce marketplace; generating reports and presentations to streamline the education of key stakeholders around the organization"
Senior Data Scientist - Telecommute," Lead and deliver data science solutions leveraging the latest machine learning techniques, including exploratory data analysis, feature engineering, and selection, model selection, evaluation, and cross-validation, a deployment that operationalizes at scale and that drives value to OptumRx Research and apply a range of data science methodologies and machine learning models to complex business problems Develop, implement, and maintain tools and algorithms using Python and/or other languages with appropriate libraries and frameworks Communicate results as well as their uncertainty and limitations effectively to technical and non-technical stakeholders "
Senior Data Scientist - Telecommute," Lead and deliver data science solutions leveraging the latest machine learning techniques, including exploratory data analysis, feature engineering, and selection, model selection, evaluation, and cross-validation, a deployment that operationalizes at scale and that drives value to OptumRx Research and apply a range of data science methodologies and machine learning models to complex business problems Develop, implement, and maintain tools and algorithms using Python and/or other languages with appropriate libraries and frameworks Communicate results as well as their uncertainty and limitations effectively to technical and non-technical stakeholders "
Chief Data Scientist,"Setting strategies for data collection, maintenance, analysis and utility of insightsIdentifying business problems to solve with data-driven approachesOverseeing machine learning, AI and algorithmic development that automates various aspects of our deal operations and portfolio operations workflowsAnalyzing sales, marketing, logistics and other operational data to generate insights on opportunities for improvementDesign and implement algorithms to tackle a wide variety of datasets using open source libraries, third party API’s and in house developed algorithmsAnalyzing marketplace data to identify potential opportunities for acquisitionReporting on patterns and insights to cross-functional teams of M&A professionals, operators, and e-commerce brand foundersEstablish partnerships with technology and data vendors that aid in accomplishing Company’s analytics strategyIdentify opportunities for continuous improvement to processes and propose solutions to be implementedFoster effective dialogue with cross-functional teams to facilitate processes. Anticipate needs and challenges and provide seamless solutionsEnsure all activities are in compliance with applicable rules, regulations, policies and proceduresAdditional responsibilities as requested"
"Associate Director, Data Science",Hands-on research and development on data science and machine learning projectsWork with Product and Engineering stakeholders to develop an R&D roadmapHire data scientists and other talent to build a highly productive teamManage projects end-to-end from early stage research through developmentUse your expertise in data science and/or computer science to research and recommend solutions to our technology and business problemsProvide technology leadership to yield innovative differentiating solutionsDevelop an understanding of Epsilon PeopleCloud Digital Media Solutions personalization platform and proprietary datasetsImplement and optimize state of the art algorithms in distributed environmentsWork with our Engineering teams to integrate your solutions into Epsilon PeopleCloud Digital Media Solutions platformParticipate fully in our collaborative approach to research and applications projects
Data Scientist - Retail Bank,"Design, build and modify models based on historical trends and implement relevant forecasted performance metrics across acquisition and portfolioResponsible to create state of the art documentation process right from scoping out the business problem to analytical solution to implementation process where required.Identify new opportunities to analyse/ model/ segment customer behaviour that add value to bottom-line revenue/ enhance customer experienceMeasure financial performance of acquisition campaigns, portfolio campaigns, price testing and forecasting performance on current and future campaignsMaintain regular communication with all the key stakeholders - across Portfolio, Marketing, Product, Finance, Risk and Customer Franchise teams for effective implementation of analyticsCommunicate analytical solution and financial benefits in a business language"
Sr. Distinguished Engineer - Machine Learning Platform,"Establish a world-class competency in machine learning platforms and tooling at Capital One by helping to build and lead a team of the brightest minds in machine learning and engineering Build the vision and the roadmap, defining what the priorities should be, and creating both near-term and long-term wins from the application of machine learningAs a naturally curious leader, stay abreast of and determine how to fully leverage existing and emerging machine learning techniques and frameworks to continuously keep us at the forefront Create a robust operating model for machine learning applications that provides a clear development path from POC to prototype to full enterprise-class capabilitiesNurture a healthy collaborative engineering culture, and provide transparency to business and technology leaders on selection and prioritization of machine learning capabilities and their progressPartner with the enterprise risk partners to stand up proper governance and oversight of machine learning capabilities"
Sr. Distinguished Engineer - Machine Learning Platform,"Establish a world-class competency in machine learning platforms and tooling at Capital One by helping to build and lead a team of the brightest minds in machine learning and engineering Build the vision and the roadmap, defining what the priorities should be, and creating both near-term and long-term wins from the application of machine learningAs a naturally curious leader, stay abreast of and determine how to fully leverage existing and emerging machine learning techniques and frameworks to continuously keep us at the forefront Create a robust operating model for machine learning applications that provides a clear development path from POC to prototype to full enterprise-class capabilitiesNurture a healthy collaborative engineering culture, and provide transparency to business and technology leaders on selection and prioritization of machine learning capabilities and their progressPartner with the enterprise risk partners to stand up proper governance and oversight of machine learning capabilities"
Sr. Distinguished Engineer - Machine Learning Platform,"Establish a world-class competency in machine learning platforms and tooling at Capital One by helping to build and lead a team of the brightest minds in machine learning and engineering Build the vision and the roadmap, defining what the priorities should be, and creating both near-term and long-term wins from the application of machine learningAs a naturally curious leader, stay abreast of and determine how to fully leverage existing and emerging machine learning techniques and frameworks to continuously keep us at the forefront Create a robust operating model for machine learning applications that provides a clear development path from POC to prototype to full enterprise-class capabilitiesNurture a healthy collaborative engineering culture, and provide transparency to business and technology leaders on selection and prioritization of machine learning capabilities and their progressPartner with the enterprise risk partners to stand up proper governance and oversight of machine learning capabilities"
Sr. Distinguished Engineer - Machine Learning Platform,"Establish a world-class competency in machine learning platforms and tooling at Capital One by helping to build and lead a team of the brightest minds in machine learning and engineering Build the vision and the roadmap, defining what the priorities should be, and creating both near-term and long-term wins from the application of machine learningAs a naturally curious leader, stay abreast of and determine how to fully leverage existing and emerging machine learning techniques and frameworks to continuously keep us at the forefront Create a robust operating model for machine learning applications that provides a clear development path from POC to prototype to full enterprise-class capabilitiesNurture a healthy collaborative engineering culture, and provide transparency to business and technology leaders on selection and prioritization of machine learning capabilities and their progressPartner with the enterprise risk partners to stand up proper governance and oversight of machine learning capabilities"
Sr. Distinguished Engineer - Machine Learning Platform,"Establish a world-class competency in machine learning platforms and tooling at Capital One by helping to build and lead a team of the brightest minds in machine learning and engineering Build the vision and the roadmap, defining what the priorities should be, and creating both near-term and long-term wins from the application of machine learningAs a naturally curious leader, stay abreast of and determine how to fully leverage existing and emerging machine learning techniques and frameworks to continuously keep us at the forefront Create a robust operating model for machine learning applications that provides a clear development path from POC to prototype to full enterprise-class capabilitiesNurture a healthy collaborative engineering culture, and provide transparency to business and technology leaders on selection and prioritization of machine learning capabilities and their progressPartner with the enterprise risk partners to stand up proper governance and oversight of machine learning capabilities"
Sr. Distinguished Engineer - Machine Learning Platform,"Establish a world-class competency in machine learning platforms and tooling at Capital One by helping to build and lead a team of the brightest minds in machine learning and engineering Build the vision and the roadmap, defining what the priorities should be, and creating both near-term and long-term wins from the application of machine learningAs a naturally curious leader, stay abreast of and determine how to fully leverage existing and emerging machine learning techniques and frameworks to continuously keep us at the forefront Create a robust operating model for machine learning applications that provides a clear development path from POC to prototype to full enterprise-class capabilitiesNurture a healthy collaborative engineering culture, and provide transparency to business and technology leaders on selection and prioritization of machine learning capabilities and their progressPartner with the enterprise risk partners to stand up proper governance and oversight of machine learning capabilities"
"Product Manager, Machine Learning Enrichment","Develop and execute end-to-end Global ML product enrichment strategy, aligned with company goals and industry best practices to drive high relevancy and coverage for semantic search systemsOwn the end-to-end ML product enrichment lifecycle from ideation to execution and optimization. Accountability for benefit realization, operational efficiency, and achievement of semantic search relevancy and coverage KPIsSet ambitious and clear product mission, vision, objectives, and key results (OKRs). Translate these into a prioritized roadmap and development backlog to achieve key resultsLead a cross-functional team including data scientists, machine learning engineers, backend engineers, business experts, and data analysts to execute product strategy and deliver business growth and customer valueChampion ML product enrichment internally to support business objectives. Build cross-functional partnerships with global, regional, local, and third-party stakeholders in an inclusive and efficient wayCreate commitment & understanding around the ML product enrichment mission, vision, goals, strategies, and milestones with different stakeholders (global, regional, local)"
Entry Level Data Scientist," Collaborate with dynamic teams of engineers, developers, and scientists who research and integrate algorithms to develop an application, software, and computer system solutions to address complex data problems."
Entry-Level Data Scientist," Collaborate with dynamic teams of engineers, developers, and scientists who research and integrate algorithms to develop an application, software, and computer system solutions to address complex data problems."
Machine Learning Engineer,"Work closely with Tech Anchor, Product Manager and Product Owner to deliver machine learning use cases using Agile Methodology.Work with software and ML engineers to tackle challenging AI problems.Leverage latest ML/NLP/ GCP technologies."
Python AI Data Science Jr. Developer,Participating in all phases of the software development lifecycleBuilding efficient server-side applicationsIntegrating front-end components into applicationsBuild efficient back-end features in PythonIntegrate front-end components into applicationsManage testing and bug fixesPrepare technical documentationCollaborate with UX/UI designers to implement design into the code
Senior Machine Learning Engineer (IV),"In this role, you will enjoy working with a highly talented and diverse team of data scientists and engineers specializing in deep learning, active learning, and classical machine learning with one of the richest data sets in US healthcare, nearly limitless cloud compute resources including Spark clusters and GPUs, and the ability to support a large pipeline of AI models directly into business impact."
Data Expert (Data Science/ Data Engineering) - Education Technology (EdTech) - London,"- Explore and recommend various methods of data collection that provide insights for product development, troubleshooting and marketing.This person will also be entrusted to protect all company data; develop models to decode and understand the data; build dashboards that inform the business."
Data Science Recruitment Delivery Consultant - London,- Identify and secure the best candidates for our live roles before our competitors doGather market information for the Recruitment Consultants so we grow new business opportunities and revenueAlways deliver a first class customer service to all candidates and work in a professional way with all team members internallyKey tasks and responsibilitiesSwiftly identify and secure the shortlisted candidates for all live roles – responding changing prioritiesMaintain regular contact with candidates who we have closed and ensure they are kept up to date with the client selection processGenerate opportunities and leads for the Recruitment ConsultantsDeliver a fast and accurate stream of information for the wider teamWork diligently to exceed KPIs as set from time to time
Senior Data Scientist - Telecommute," Lead and deliver data science solutions leveraging the latest machine learning techniques, including exploratory data analysis, feature engineering, and selection, model selection, evaluation, and cross-validation, a deployment that operationalizes at scale and that drives value to OptumRx Research and apply a range of data science methodologies and machine learning models to complex business problems Develop, implement, and maintain tools and algorithms using Python and/or other languages with appropriate libraries and frameworks Communicate results as well as their uncertainty and limitations effectively to technical and non-technical stakeholders "
Data Scientist,"Drive and lead data science related productsDevelop and manage streaming data pipelines at enterprise scale.Build expertise on the data. Own data quality for various data flows.Design and build new framework and automation tools to enable teams to consume and understand data fasterBuild, validate, test, and deploy models and algorithms.Developing short and long-term data strategy plans"
Senior Principal Data Scientist," Lead data services contribution to digital products to support product development - partner with product teams to assure that our digital software products benefit from the spectrum of data science technologies and its application to software development.  Drive data science and analytical software development teams. Carry out analytics to support multiple product development projects and find solutions to new quantitative problems.  Stay committed to offering innovation, find opportunities for new additions to our portfolio, enhance ways of working (including processes, methods, technology etc.) and share new techniques and lessons learned pro-actively with peers.  Serve as an advocate to product, engineering, and business team members on what analytic features and functions are possible with current data assets and/or what has to occur to advance the use of data in the digital products.  Mentor less experienced data scientists and act as an influential subject matter expert to your team members and the business you support.  Leverage your strategic organizational awareness and systems mindset to implement sustainable, science-based practices.  Maintain and expand knowledge and access to available and meaningful data sources within/outside Roche, and their application to digital product customer needs.  Perform high quality, timely and accurate analyses using most relevant state-of-the-art methodologies, tools and resources.  Be responsible for planning and timely delivery of assigned projects.  Use and continue to foster strong working relationships with global colleagues/peers and customers and build a strong network in order to jointly explore new business opportunities, vendor relationships, data assets, analytical methodologies and toolsets.  Build and maintain partnerships with other data scientists and analysts, biostatistics, medical and business leaders, and other key functional experts. "
Lead Data Scientist,"Prepare data science business cases while working with domain experts and customers. Support defining the AI strategy within a federal government agency.Serve as the data science expert for a government program of national impact.Serve as the expert for translating research and data insights into intuitive and scalable customer-facing solutions/ products using innovative technology.Translate problems into specific analytical questions and form hypotheses that can be answered with available data using statistical methods or identify additional data needed in the master datasets to fill any gaps.Build data pipelines and efficient processes for the science team to automate ingestion of large datasets at scale.Perform hands-on data analyses and modeling with huge datasets to develop insights and recommendations.Build mechanisms and metrics for impact measurement, automate processes to learn from the pilots, reiterate and refine the product, and launch at scale.Demonstrate leadership and ownership in looking around corners to develop new, intuitive data-driven products/solutions for the customer.Evaluate data-driven products/solutions to provide bottom line value, ROI, and incremental improvements over time.Communicate and influence senior management decision making with innovative data science models/ techniques/ products."
"Senior Principal Scientist, Machine Learning Computational Immunologist","Pioneer machine learning research into antibody-antigen interaction modeling and design using internal and external datasets.Partner with project teams to advance sequence- and structure-based antibody discovery and design.Develop and implement computational approaches and prediction algorithms that can map linear and three-dimensional epitopes, optimize binding scaffolds and library design to guide screening, identify and mature the affinity of antibody hits, and assess potential liabilities and optimal development options.Communicate findings and recommend follow-up actions in multiple settings such as 1:1, seminars, group, and project meetings."
"Principal Scientist, Machine Learning, Structural Bioinformatician","Partner with project teams to create and implement machine learning models for novel biotherapeutics.Pioneer research on computational design and modeling to assess and optimize molecular design using a combination of internal and external datasets.Evaluate new computational approaches and their feasibility to molecular design.Communicate findings and recommend follow-up actions in multiple settings (including: 1:1, seminars, group, and project meetings)."
Data Science or Computational Physics Simulation Intern,"Attend daily stand-up meetings with the team, providing updates on progressPerform required development work on software assigned by the companyResearch methods to improve software performance and implement resultsContribute to developing reports and proposals relating to the project being worked onTake part in ideation meetings with other interns and develop a self-directed project as to be completed by the end of the internship"
Data Scientist,"Analyze data (past customer behavior, sales inputs, and other sources) to figure out trends, create compromise prevention and mitigation solutions and output reports with clear recommendationsHelp build and continually optimize data science solutions that identify and mitigate platform risk exposureDetermine indicators (patterns) of potential fraud and conceptualize ways to automatically detect instances"
Senior Data Scientist,The candidate will be working directly with the client working on a number of Data Science use cases. Below are the candidate’s responsibilities:
Data Science Strategy Director,"Working with clients and with project teams to creatively address data science/computing challenges/strategy on moving forwardTake initiative to identify opportunities for technology to enhance service offeringsAct as a consultative resource and participate in client engagements and research as part of the project teamMaintain up-to-date knowledge of data science and computing tools, providing technical training and helping to grow the in-house knowledge basePresent research at selected conferences; serving as an expertMaintain individual contributions while providing mentorship to other data scientists and analysts conducting work such as:Optimize procedures for managing and accessing large databases (e.g., insurance claims, electronic health records, financial transactions)Define the Digital, Data and technology learning agendaEnsure the data strategy and measurement frameworks alignWorking with planners, client, strategy director and digital director to define an audience framework and data strategy for each brand and overall brand portfolio tapping into relevant data partners, publishers.Grow the use of DMP in use cases, application in campaigns as well as through strategy to connect to wider dataset, particularly in 1P and 2P dataSupport the development of technology based platforms and applications as a data strategist alongside data & tech talentBecome the technology and data steward for [client] ensuring the technology elements fit together, support any desired changes, proactively suggest changes to improve data fluidity, reducing data loss / improving data match ratesWork with planners to provide guidance on how data can be utilised to inform annual planning insights and work with the team to help inform how data integration evolves the planning processFeed into media partnership strategy based on data strategy needsSetup testing programme to continuously try new vendors and partners to improve on data and technology deliveryLead data driven marketing programme approach across UK agency supporting digital directors in the development of data strategies for their client, setting best practice approach, educating planning teamsSupport new business pitches and prototyping work"
Data Scientist,"Lead or contribute to multidisciplinary and multidivisional flavor and fragrance-related research projects through management and advanced processing of new and existing data.Represent the global analytical chemistry team within a community of data scientists.Maintain awareness of relevant state-of-the-art technologies and knowledge relevant to data science and analytical chemistry. Identify opportunities to improve and automate procedures, protocols and systems.Build strategic relationships with R&D colleagues, business partners and key external contacts. Participate in data interpretation and information sharing with the global analytical chemistry teams.Develop data science pipelines and prototype analysis tools. Apply programming capabilities and advanced chemometric techniques to analysis and interpretation of large data sets.Communicate results internally and externally via meetings, presentations, conferences, peer-reviewed publications and patents. Provide training to colleagues to allow them to discuss knowledgably with data scientists, communicate needs and understand possibilities"
Data Scientist - Drug Design,"In the context of the latter task, the department is opening a position for a full time data science and machine learning position for biosignature molecule design. The goal will be to focus on the creation and application of deep learning approaches to advise medical chemistry projects, also by using high-dimensional imaging data (biosignatures)! The full time position will do world-class research on biosignatures and molecule designs. This will enable hit expansions and phenocopy strategies (replace antibody biosignature response by a small molecule biosignature response)."
Data Scientist,"Lead or contribute to multidisciplinary and multidivisional flavor and fragrance-related research projects through the management and advanced processing of new and existing data.Represent the global analytical chemistry team within a community of data scientists.Maintain awareness of relevant state-of-the-art technologies and knowledge relevant to data science and analytical chemistry. Identify opportunities to improve and automate procedures, protocols, and systems.Build strategic relationships with R&D colleagues, business partners, and key external contacts. Participate in data interpretation and information sharing with the global analytical chemistry teams.Develop data science pipelines and prototype analysis tools. Apply programming capabilities and advanced chemometric techniques to analysis and interpretation of large data sets.Communicate results internally and externally via meetings, presentations, conferences, peer-reviewed publications, and patents. Provide training to colleagues to allow them to discuss knowledgeably with data scientists, communicate needs and understand possibilities"
Python/Matlab Developer / Data Science,"Run scripts Python/Matlab for data analysisPresentation of results/metricsCollaborate with multiple teams (failure analysis leads, automation lab team and product owners) to understand requirementsUnderstand the full life cycle of Failure Analysis, this includes from the start of lab execution through the manual failure analysis and contradictionsAnalyze sets of data to discover methods to clean the data to be utilize in our existing modelsMaintain existing ML models and Research, implement new machine learning algorithms to use in our test automation labGrouping of large volumes of data based on semantic meaningsUtilize natural language processing techniques to parse sets of entered text and draw parallels to existing sets of reference data.Apply statistical analysis and report results visually and numerically"
Machine Learning Engineer,"Construct an advanced Machine Learning infrastructure through collaboration with the AI Research, Engineering, and Product teams.Develop a culture of best practices in transforming machine learning code into operant and performant IaaS, SaaS, and AIaaS.Build and apply geo-specific deployment environments using Kubernetes (Docker).Various methods are compared and analyzed through active PoC (Proof of Concept) to find the optimal solution and apply it to the service.Design and build an automated system for hypothesis generation and testbeds that can operate various services and handle user traffic.Build a Kubernetes cluster to allow developers to create and update infrastructure components at any time, allowing easy service expansion.Build a robust monitoring system to easily check the status of services and detect system anomalies immediately.Anticipate and respond to system anomalies in advance.Immediately identify and act through the log infrastructure and analytics system."
Machine Learning Engineer,"As our new Machine Learning Engineer, you will join the Machine Learning team (part of Products division) and report to the Vice President of Research Technology, based in Zürich, Switzerland. You will be involved in the full machine learning life cycle within RepRisk, including design and experimentation, training and implementation, monitoring and operation. You will work on challenging ML problems primarily in natural language processing (NLP), including:"
Data Scientist,"Develop predictive and prescriptive statistical or behavioral models from large sets of structured and unstructured dataIdentify methods that allow continuous and automated statistical testing to enhance the predictability of deployed modelsCommunicate results to clients, team members and business leadersCollect data for ad hoc and statistical analysisOwn the of deployment of applicable models for business projectsCommunicate complex analyses, conclusions and solutions clearly to all audiencesWork with project managers to develop detailed project timelines"
Data Scientist,"Building Machine Learning models Creating Machine Learning Algorithms Building data pipelines using Python, Pyspark and Databricks in MS Azure Assisting in the development of the overarching data landscape and architecture Ad hoc data governance, assurance, and quality tasks Ensure that all work is carried out in line with best practice guidelines Work closely with stakeholders Contribution to various automation focused projects "
Principal Data Scientist (AI/ML Engineer),"Develop corporate competencies in AI/ML through training, mentoring, and leading teams through successful implementations.Contribute towards the curation, development and dissemination of AI/ML related educational materialsContribute towards the curation, development, and promotion of playbooks, best practices, standards such as Responsible AI, and lessons learned.Lead AI/ML solutions from scoping through deployment and monitoring. Collaborate with engineers, solution architects, project managers, and our services teams, to design and implement models and experiments from end to end, including data ingestion and preparation, analysis and modeling, model deployment, monitoring and documentation. Develop and maintain scalable data pipelines and build AI/ML models to support our lines of businessIdentify and prioritize key areas where AI/ML solutions can drive significant business benefit.Collaborate on the selection and piloting of platforms (e.g. MLOps) and tools in support of CoESupport the creation of client proposals and public white papers, roadshows and present at conferencesMaintain current knowledge of AI technology landscape and emerging developments."
Machine Learning Research Scientist,"Work on and lead interdisciplinary teams to design, develop, and deploy ML algorithms for remote sensing applicationsParticipate in customer briefingsCreate new project ideas and brief those ideas internally to Leidos and externally to customers"
Principal Machine Learning Researcher,"The successful candidate will be responsible for:Supporting existing remote-sensing programs with AI/ML innovation in roles as PI, technical lead or consultantDeveloping marketing strategies, briefing potential customers and leading proposal efforts to win new remote-sensing business using advanced AI/ML techniques as a discriminatorProposing and executing high ROI internal research and development programs to foster new and novel AI/ML implementations and applications to remote-sensing problems relevant to customer needs"
Senior Data Scientist,"Leading analytical conversation with business centred on “The art of the possible using data science”, exploring data from a modelling perspective, and performing initial exploratory data analysis to assess business valueWorking with information management specialists to identify and classify new feature sets, explore machine learning algorithms, and extract new feature setsWorking in close partnership with analytics managers to size analytical opportunities and execute plans that ensure a positive commercial returnDeveloping, implementing and maintaining analytical models to identify fraud, drive recoveries and renewals, drive profitable growth, and improve underwriting, pricing and claims performanceBuilding analytical application designs and prototyping to test ideas and drive innovation in an agile fashionWorking with analytics partners to build and operationalise models, quantifying and analysing model performance, and overseeing model refreshing requirementsManaging analytical projects and coordinating activities with other shared services partners by prioritising relevant activities and providing subject matter expertise Assisting in the development of commercial propositions involving the use of analytics within insurance core functions through own analysis, prior experience, and research & developmentImplementing fit-for-purpose analytics tools and infrastructure that will be adopted by end users (e.g. claims handlers)Contributing to IT strategyPositively promoting the department, division and company as a whole, in order to maximise brand leverage and develop the team’s profileActively undertaking personal development to ensure up-to-date skills and knowledgeActing as a point of reference to guide and advise junior members of the team to ensure sharing of knowledge and best practiceContributing to a positive environment by demonstrating cultural expectations and guiding leaders to reward performance, and valuing “can do” people, accountability, diversity and inclusion, flexibility, continuous improvement, collaboration, creativity and funAdopting QBE values in personal work behaviours, decision-making, contributions and interpersonal interactionsManaging own career development by soliciting feedback and valuing other perspectives"
Data Scientist,"Identify, analyze and interpret trends or patterns in complex data setsDeliver actionable recommendations, support implementation of solutionsCreate, model and implement new data architecture, algorithms and analytics solutionsCollaborate with business leadership to develop ongoing dialogue with respect to our business model, prioritized challenges and how information can be wielded strategically to solve themEmploy structured approach to leveraging large data sets to uncover new business insights that will support the evolution of our products and servicesApply demonstrable statistical, mathematical, predictive modelling, data mining and business strategy experience to test and validate business hypothesesCreate examples, prototypes, visualizations or demonstrations to help leadership better understand the work and recommendationsTravel requirements: NonePerform other duties and responsibilities as required, assigned, or requested."
Machine Learning Engineer,"Develop machine learning workflows to enable an Azure-First approach to computer vision applications. Conduct POCs with different vendors in data science and machine learning space.Gather requirements and understand common problems across the enterprise to define, develop and deploy the foundational capabilities in this space.Streamline labelling, infrastructure provisioning and training processes to speed up the development cycle."
Data Scientist,Business and Data understanding; Modeling; Evaluation.
Director of Data Science,"Shape vision for data science/predictive analytics applications for all areas of the organizationAbility to drive data science programs and projects and see them to their successful completionExperience with building analytical models to solve complex problemsHands on experience with data visualization utilizing industry standard tools such as Power BI, Tableau, or similarHave experience with applications on Azure or AWS and their AI/ML toolsExperience with the full machine learning life cycle including predictive data analytics, including data preprocessing model building, and evaluationResearch and implement enterprise best practices in predictive data analyticsIdentify and implement appropriate technologies and techniques, from a non-analytical such as data store and analytical perspective such as models like Neural NetworksIdentify, evaluate, build, and implement infrastructure and methodologies for enhanced data collection, storage, cataloging, descriptive analysis and predictive modeling and presentationDesign technological solutions that ensure data completeness and accuracy across data mining initiativesDesign technological solutions that ensure reporting consistency across analytical initiativesDeliver data products and dashboards that help enhance understanding of organization trends, and support member’s businessesConnect and collaborate with data science leaders and experts within and outside of the industry and keep pulse on data science innovations and ensure that REALTORS® are at the forefront of data-driven innovationEducate, mentor, and train the data science team, other IT teams, staff, and members on data scienceOther duties, as assigned"
Data Scientist Sales,"Cross-collaboration and strong communication with New Products teams (NPI), Business Units (BUs), peers, and management to improve demand forecastsAnalysis of historical demand data to predict future growth using statistical processesAnalysis of history to drive improvements in existing processesImprove accuracy metrics by via Forecast Value Add (FVA) and drive efficiency and accuracy to planningAnalyze demand vs. supply on all SKUs to proactively navigate potential supply shortagesGenerate reports in QlikSense that improve visibility to all departments regarding demandMaintain data in Anaplan and help highlight improvement opportunities"
Sr. Data Scientist - eligible,Build graph architecture and visualization from scratchBuilding Data visualization with Big Data through interactive languagesBuilding researcher toolsAnalyze large amounts of information to discover trends and patternsPresent information using data visualization techniquesPropose solutions and strategies to business challengesBuild predictive models and machine-learning algorithms
Data Scientist,This role provides technical consulting. Works as a Data Scientist works in Enterprise Data Analytics Team on their Big Data Platform and provides advanced analytics solutions to our Business users using the tools specified within the Qualifications section
MACHINE LEARNING ENGINEER,-Solid experience building computer vision applications using deep learning methods with static (2D Images) and real-time (videos). -Solid azure skills and ability to connect different services and products to create automated ML workflows including training models.-Solid Python skills-Previous experience in Ansible is a plus. -Working in agile teamPreferred Experience:-Previous experience applying computer vision to drone or other unmanned system generated rich media data is preferred.-Previous experience with segmentation & classification of 3D Point Clouds will be a plus.Education:-B.A. / B.S. in engineering or computer science Loc: Remote
Lead Data Scientist,"Dive into underlying data, apply relevant Data Mining techniques and/or Machine Learning algorithms and propose data analytic product to improve the product intelligenceImplement the applicable Machine Learning or statistics-based algorithm for prediction and optimizationDeliver the trained model to production design, build and support algorithms of data transformationConvey mathematical and statistical models with proven predictive powerBuild predictive models of energy usage and optimal technology suitabilityTranslate quantitative data into visual reports for non-technical audiences and provide clear analysis of the dataIdentify areas where improvements in data analytics can bring more value to clientsLead the development of company best practices around data analytics, dashboarding, and reportingPrepare reports for leadership that communicate trends, patterns, and forecasts to inform business decisionsWork hand in hand with software engineers to deploy your models into productionLead, grow, and foster high-performance teams of in-house data scientists and ML experts"
Lead Data Scientist - Marriott International HQ (21087247),Are you passionate about the power of big data to drive customer value? Do you enjoy maneuvering complex data sets to build elegant machine learning models? Do you go beyond building models to ensure they are actionable? Are you continuously learning about all the developments in the world of AI? Do you list Python or R as one of the languages you speak?!
"Sr. Data Scientist, Advanced Data Science - Cobrand Cards - Marriott International HQ (21087249)","Are you passionate about the power of big data, AI and machine learning to drive customer value? Do you enjoy maneuvering complex data sets to build elegant machine learning models? Do you go beyond building models to ensure they are actionable? Do you list Python or R as one of the languages you speak?!"
Senior Data Scientist - Telecommute," Work with the data analytics and business teams to integrate and transform lead generation, direct-to-consumer, product, customer experience, recommendations & much more Engage with business stakeholders to ask the right questions and begin the discovery process Acquire and prepare data for various analytical and ML projects Integrate with existing and future state platform and technology Initial data investigation and exploratory data analysis Take responsibility for estimating, planning, and managing work and reporting on progress"
"Associate Director, Data Science",Hands-on research and development on data science and machine learning projectsWork with Product and Engineering stakeholders to develop an R&D roadmapHire data scientists and other talent to build a highly productive teamManage projects end-to-end from early stage research through developmentUse your expertise in data science and/or computer science to research and recommend solutions to our technology and business problemsProvide technology leadership to yield innovative differentiating solutionsDevelop an understanding of Epsilon PeopleCloud Digital Media Solutions personalization platform and proprietary datasetsImplement and optimize state of the art algorithms in distributed environmentsWork with our Engineering teams to integrate your solutions into Epsilon PeopleCloud Digital Media Solutions platformParticipate fully in our collaborative approach to research and applications projects
"Data Scientist, Visual Analytics","Develop an understanding of Epsilon’s Digital Media Services (DMS) personalization platform and proprietary datasetsWork closely with internal and external stakeholders and data providers to support data ingestion, insights, aggregations and trending projectsManage data logistics including data transfers, understanding data structures, business rules, and beyond to enable project executionDesign, implement and validate your solutions in using SQL/HiveQL, Scala, Spark or Python, PySpark on a large state-of-the-art cluster; in some cases, the solutions may be based on GPU-computation or Elastic Search platforms as wellWork with our Engineering teams to develop and integrate your solutions into Epsilon’s DMS platformParticipate fully in our collaborative approach to research and applications projectsBe a supportive and positive contributor in a highly collaborative, multi-disciplinary R&D team with shared and overlapping responsibilities, all in support of a strong mission with purpose and proven results"
